Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2023-0366-IDN,2023,0366,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Indonesia,IDN,South-Eastern Asia,Asia,Batam City (Riau Islands),,Flood,Lightening,,,,,,Kph,,,,,2023,6,24,2023,6,26,,7,330,,337,,,,,,,,,,,
2023-0054-TUR,2023,0054,EQ-2023-000015,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Gaziantep; Pazarcik District (Kahramanmaras); Sanliurfa, Diyarbakir, Adana, Adiyaman, Osmaniye, Hatay, Kilis, Elazig, Malatya",,Fire,,,Yes,Yes,,8,Richter,38.055,36.51,04:17,,2023,2,6,2023,2,6,50096,107204,9100000,,9207204,100000000,,,,34000000,,,1;2,3017;3018;3042;3044;3048;3052;3064;3071;3079;3083,27957,"Adana, Adiyaman, Diyarbakir, Elazig, Gaziantep, Hatay, Kilis, Malatya, Osmaniye, Sanliurfa (Adm1). Pazarcik (Adm2)."
2023-0044-IDN,2023,0044,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Manado City area (North Sulawesi Province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Tondanao River,2023,1,27,2023,1,30,,,16700,,16700,,,,,,,,,,,
2023-0437-IDN,2023,0437,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Karangasem and Bangli (Bali Province); Lumajang (East Java Province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,7,7,2023,7,14,6,7,510,,517,,,,,,,,,,,
2023-0359-IND,2023,0359,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"Mandi, Solan and Hamirpur districts (Himachal Pradesh); Uttarakhand, Punjab, NewDelhi, Haryana",Monsoon rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,6,26,2023,7,12,62,,5,,5,,,,,3000,,,1;2,1489;1492;1505;70082,17668;17673;17676,"Delhi, Haryana, Punjab, Uttarakhand (Adm1). Hamirpur, Mandi, Solan (Adm2)."
2023-0330-IND,2023,0330,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,6,14,2023,6,23,,,500000,,500000,,,,,,,,1;2,1507,17590;70091,"Sikkim (Adm1). Lakhimpur, Nalbari (Adm2)."
2023-0413-JPN,2023,0413,,Natural,Hydrological,Flood,Flash flood,,,Japan,JPN,Eastern Asia,Asia,"Yamaguchi Prefecture (Honshu); Oita Prefecture (Kyushu islands); Kumamoto City (Kumamoto Prefecture); Hiroshima, Yamaguchi, Fukuoka Saga, Oita",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,7,1,2023,7,7,6,18,4200,,4218,,,,,,,,1,1660;1679,,"Hirosima, Ooita (Adm1)."
2023-0326-NPL,2023,0326,,Natural,Hydrological,Flood,,,,Nepal,NPL,Southern Asia,Asia,"Nuwakot, Okhaldhunga, Panchthar, Shankhuwasabha, Taplejung, Dhankuta and Ilam (Koshi province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,6,15,2023,6,19,36,6,1500,,1506,,,,,,,,,,,
2023-0208-PAK,2023,0208,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Peshawar, South Waziristan, Tank, Khyber, Lower Kohistan, Mardan, Hangu, Orakza, Bajaur (Khyber Pakhtunkhwa Province)Orakzai, Peshawar, Tank and",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,3,24,2023,4,6,14,27,750,,777,,,,,,,,2,,23631;23632;40320;40321;40336;40340;40345;40347;40351,"Bajaur Agency, Hangu District, Khyber Agency, Kohistan District, Mardan District, Orakzai Agency, Peshawar District, South Waziristan Agency, Tank District (Adm2)."
2023-0258-PAK,2023,0258,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Orakzai, and Mohmand districts (Khyber Pakhtunkhwa Province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,4,20,2023,4,28,1,,,,,,,,,,,,2,,23634;40320,"Mohmand Agency, Orakzai Agency (Adm2)."
2023-0094-PHL,2023,0094,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Bicol, Western Visayas, Eastern Visayas, Zamboanga Peninsula, Davao Region, Soccsksargen and Caraga",Low-pressure area,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2023,2,13,2023,2,20,15,,32764,,32764,,,,,5000,,,1,2361;2362;2364;2368;67159;67161;67162,,"Region IX (Zamboanga Peninsula), Region V (Bicol region), Region VI (Western Visayas), Region VIII (Eastern Visayas), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) (Adm1)."
2023-0073-IDN,2023,0073,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Papua,,Collapse,,,,,,5,Richter,,,13:28,,2023,2,9,2023,2,9,4,,2136,,2136,,,,,,,,,,,
2023-0435-MNG,2023,0435,FL-2023-000111,Natural,Hydrological,Flood,,,,Mongolia,MNG,Eastern Asia,Asia,"Ulaanbaatar, Selenge, Töv",Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,,2023,7,3,2023,7,14,,,288738,,288738,,,,,,,,1,2092;2094;2095,,"Selenge, To'v, Ulaanbaatar (Adm1)."
2023-0300-JPN,2023,0300,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Mawar',Japan,JPN,Eastern Asia,Asia,Okinawa,,Flood,,,,,,215,Kph,,,,,2023,6,2,2023,6,2,3,35,,,35,,,,,,,,1,1681,,Okinawa (Adm1).
2023-0240-KHM,2023,0240,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Cambodia,KHM,South-Eastern Asia,Asia,,,Flood,,,,,,,Kph,,,,,2023,4,14,2023,4,16,,,14100,,14100,,,,,,,,,,,
2023-0297-MNG,2023,0297,CW-2023-000078,Natural,Meteorological,Extreme temperature,Cold wave,,,Mongolia,MNG,Eastern Asia,Asia,"Dornod, Dornogovi, Dundgovi, Govi-Altai, Khentii, Ömnögovi, Sükhbaatar",,Snow/ice,,,,,,,°C,,,,,2023,5,19,2023,5,22,2,,5100,,5100,,,,,,,,1;2,2081;2082;2083;2085;2093,21653,"Dornod, Dornogovi, Dundgovi, Govi-Altai, Su'xbaatar (Adm1). Nomgon (Adm2)."
2023-0436-LKA,2023,0436,,Natural,Meteorological,Storm,Convective storm,,,Sri Lanka,LKA,Southern Asia,Asia,,,Lightening,,,,,,,Kph,,,,,2023,7,4,2023,7,14,,,6631,,6631,,,,,,,,,,,
2023-0127-IDN,2023,0127,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Indonesia,IDN,South-Eastern Asia,Asia,"Konawe Regency, Southeast Sulawesi and Central Sulawesi provinces",,,,,,,,,Kph,,,,,2023,3,5,2023,3,5,1,3,650,,653,,,,,,,,,,,
2023-0006-IDN,2023,0006,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Southwest Maluku and Tanimbar Islands Regencies (Maluku Province),,,,,,,,8,Richter,-7.065,130.005,02:47,,2023,1,10,2023,1,10,1,11,4350,60,4421,,,,,,,,1,73615,,Maluku (Adm1).
2023-0378-IDN,2023,0378,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Special Region of Yogyakarta, East and Central Java (Java province)",,,,,,,,6,Richter,-8.674,110.041,19:57,,2023,6,30,2023,6,30,1,10,1110,,1120,,,,,,,,,,,
2023-0123-IDN,2023,0123,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Serasan District (Riau Islands),Heavy rains,,,,,,,,,,,,,2023,3,6,2023,3,6,55,8,1200,,1208,,,,,,,,,,,
2023-0227-IDN,2023,0227,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,"Parigi Moutong Regency (Central Sulawesi); Purwakarta Regency, Western Jawa",Heavy rains,,,,,,,,,,,,,2023,4,15,2023,4,15,5,,130,,130,,,,,,,,,,,
2023-0459-IND,2023,0459,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,"Irshalwadi Village (Raigad District, western Maharashtra State)",Heavy rains,,,,,,,,,,,,,2023,7,19,2023,7,19,28,,,200,200,,,,,,,,2,,17777,Raigarh (Adm2).
2023-0294-IND,2023,0294,TEC-2023-000069/TC-2023-000071,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Mocha',India,IND,Southern Asia,Asia,"Mizoram, Tripura, and Manipur states",,,,,,,,,Kph,,,,,2023,5,14,2023,5,14,,,1000,,1000,,,,,,,,,,,
2023-0234-IND,2023,0234,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,Maharashtra state,,,,,,,,38,°C,,,,,2023,4,,2023,4,,11,330,,,330,,,,,,,,,,,
2023-0328-IND,2023,0328,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,Uttar Pradesh and Bihar,,,,,,,,45,°C,,,,,2023,6,15,2023,6,23,98,,,,,,,,,,,,,,,
