Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2023-0354-PAK,2023,0354,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Balochistan, Khyber Pakhtunkhwa, and Punjab",Pre-monsoon rain,,,,,,,,Km2,,,,,2023,6,10,2023,6,29,33,48,150,,198,,,,,,,,1;2,2272;2276,23632,"Balochistan, Punjab (Adm1). Khyber Agency (Adm2)."
2023-0428-PAK,2023,0428,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Punjab, Khyber Pakhtunkhwa, Balochistan, and Azad Jammu and Kashmir,",Monsoon rain,,,,,,,,Km2,,,,,2023,6,25,2023,7,13,133,215,1840,,2055,,,,,,,,1;2,2272;2276;40408,23632,"Balochistan, Jammu and Kashmir (Administrative unit not available), Punjab (Adm1). Khyber Agency (Adm2)."
2023-0355-PHL,2023,0355,VO-2023-000099,Natural,Geophysical,Volcanic activity,Lava flow,,Mount 'Mayon',Philippines (the),PHL,South-Eastern Asia,Asia,Albay Province (Bicol Region),,,,,,,,,,,,,,2023,6,5,2023,6,29,,628,38961,,39589,,,,,,,,,,,
2023-0300-PHL,2023,0300,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Mawar',Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos Region, Cagayan Valley, Central Luzon, Western Visayas, CAR and MIMAROPA.",,,,,,,,,Kph,,,,,2023,5,24,2023,6,3,,1,30500,,30501,,,,,,,,,,,
2023-0450-PHL,2023,0450,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Talim',Philippines (the),PHL,South-Eastern Asia,Asia,Northern Luzon,,,,,,,,,Kph,,,,,2023,7,12,2023,7,14,2,,450,,450,,,,,,,,,,,
2023-0102-PHL,2023,0102,,Natural,Hydrological,Flood,,,,Philippines (the),PHL,South-Eastern Asia,Asia,Davao City (Davao del Norte); Davao Oriental (Dava Region); Maguidanao del Sur Province (BARMM Region),Heavy rains,,,,,,,,Km2,,,,,2023,2,20,2023,2,24,2,,215000,,215000,,,,,5000,,,,,,
2023-0054-SYR,2023,0054,EQ-2023-000015,Natural,Geophysical,Earthquake,Ground movement,,,Syrian Arab Republic,SYR,Western Asia,Asia,"Aleppo, Lattakia, Hama; Harim (Idlib); Tartous; Atmeh, Sarmada, Atareb, and Kafr Takharim",,,,,,Yes,,8,Richter,38.055,36.51,04:17,,2023,2,6,2023,2,6,4500,8700,4100000,,4108700,14800000,,,,8900000,,,1;2,2834;2840;2844;2846,26364,"Aleppo, Hama, Lattakia, Tartous (Adm1). Harim (Adm2)."
2023-0091-SYR,2023,0091,,Natural,Geophysical,Earthquake,Ground movement,,,Syrian Arab Republic,SYR,Western Asia,Asia,,,,,,,,,6,Richter,36.159,36.034,20:04,,2023,2,20,2023,2,20,,470,,,470,,,,,,,,,,,
2023-0107-SYR,2023,0107,,Natural,Geophysical,Earthquake,Ground movement,,,Syrian Arab Republic,SYR,Western Asia,Asia,Northwest,,,,,,,,5,Richter,,,12:04,,2023,2,27,2023,2,27,,150,,,150,,,,,,,,,,,
2023-0160-SYR,2023,0160,,Natural,Hydrological,Flood,,,,Syrian Arab Republic,SYR,Western Asia,Asia,Aleppo and Idlib governorates,Heavy rains,,,,,,,,Km2,,,,,2023,3,19,2023,3,22,,1,2850,,2851,,,,,,,,1,2834;2843,,"Aleppo, Idleb (Adm1)."
